EGFR,PhosphoELM,"('P00533', 'P62158', 'P02612', 'P04083', 'P61925', 'P08487', 'P11171', 'P15311', 'P15941', 'P19174', 'P19619', 'P20936', 'P24844', 'P62993', 'P42567', 'P51692', 'P52735', 'Q13480', 'P18031', 'O15492', 'O14964', 'Q01279', 'Q9QYY0')"
EIF2AK2,PhosphoELM,"('P19525', 'P05198', 'Q6DUC3')"
EIF2AK3,PhosphoELM,"('P05198',)"
Eg3 kinase,PhosphoELM,"('P30305',)"
EphA2,PhosphoELM,"('O14493',)"
EphA3,PhosphoELM,"('P29320',)"
EphA4,PhosphoELM,"('P54764', 'Q03137')"
EphA8,PhosphoELM,"('P29322', 'O09127')"
EphB1,PhosphoELM,"('Q07494',)"
EphB2,PhosphoELM,"('O73612', 'P54763', 'P10301', 'P52799')"
EphB3,PhosphoELM,"('P54753',)"
EphB5,PhosphoELM,"('Q07497',)"
ErbB2,PhosphoELM,"('P04626',)"
FAK,PhosphoELM,"('P12814', 'P49023', 'P49024', 'Q05397', 'Q61140', 'Q99961', 'Q91YD9')"
FGFR1,PhosphoELM,"('P11362', 'P51812', 'P56945', 'Q14247', 'O60506')"
FGFR3,PhosphoELM,"('P22607',)"
FGFR4,PhosphoELM,"('P22455',)"
FGFR_group,PhosphoELM,"('P51812',)"
FLT1,PhosphoELM,"('P17948',)"
FLT3,PhosphoELM,"('P36888',)"
FLT4,PhosphoELM,"('P29353', 'ENSP00000261937')"
Fer,PhosphoELM,"('Q60598', 'Q08481')"
Fes,PhosphoELM,"('P11274', 'P07332', 'Q08481')"
Fgr,PhosphoELM,"('P09769', 'P68400', 'P97813', 'P14317')"
Fyn,PhosphoELM,"('O15117', 'P05532', 'P06241', 'P20963', 'P22681', 'P35222', 'P97813', 'Q03135', 'Q13322', 'Q63622', 'P37840', 'Q01097', 'P11137', 'P11912', 'P12318', 'P16885', 'P30419', 'P40259', 'Q13291', 'Q14643', 'Q91GT2', 'Q91XM9', 'Q86WV1', 'Q96J02', 'O43294')"
GRK-1,PhosphoELM,"('P02699', 'P28327', 'P08100')"
GRK-2,PhosphoELM,"('P07550', 'P09619', 'P15311', 'P37840', 'Q13509', 'P21462', 'P32245', 'P41143', 'P05387', 'P18545', 'P69332', 'P35367', 'P09174')"
GRK-3,PhosphoELM,"('P51681', 'P33534')"
GRK-4,PhosphoELM,"('P30411',)"
GRK-5,PhosphoELM,"('P07550', 'P43249', 'P37840', 'P34947')"
GRK-6,PhosphoELM,"('O14745', 'Q15722')"
GRK_group,PhosphoELM,"('P04274', 'P07550', 'P08172', 'P15823', 'P32245', 'P51681')"
GSK-3_Caeel,PhosphoELM,"('C09G9.6.1', 'P34707')"
GSK-3_alpha,PhosphoELM,"('P01106', 'P05412', 'P24864', 'Q9BYG3')"
GSK-3_beta,PhosphoELM,"('P01106', 'P03372', 'P10636', 'P15941', 'P19838', 'P38936', 'P49768', 'Q04206', 'P60484', 'O35625', 'P05067', 'P13807', 'P24864', 'P41236', 'P47736', 'O35516', 'Q14103', 'Q16555', 'O95863', 'O75030-2', 'Q13765', 'P30281', 'Q07820', 'Q9BYG3', 'P28033', 'P23804', 'P25322', 'Q9R194', 'ENSP00000343690', 'P54252')"
GSK-3_group,PhosphoELM,"('P00515', 'P01103', 'P01106', 'P04637', 'P05412', 'P11845', 'P16220', 'P24385', 'P35222', 'Q13144', 'P13834', 'P53566', 'P53396', 'P53805', 'Q00613', 'Q15746', 'Q91820', 'Q64350', 'P23804', 'P09803')"
HCK,PhosphoELM,"('P08631', 'P42768', 'P51692', 'Q13444', 'Q13905', 'P11274', 'P08103', 'Q91GT2')"
HIPK1,PhosphoELM,"('O35613',)"
HIPK2,PhosphoELM,"('P04637', 'P29590', 'P63015', 'O00257')"
HIPK3,PhosphoELM,"('Q13158',)"
HRI,PhosphoELM,"('P05198',)"
ICK,PhosphoELM,"('Q9UPZ9',)"
IGF1R,PhosphoELM,"('P04274', 'P07550', 'P08069', 'P35570', 'Q64010', 'Q60751')"
IKK_alpha,PhosphoELM,"('P19838', 'P24385', 'Q04206', 'Q9Y618', 'Q00653', 'Q04207')"
IKK_beta,PhosphoELM,"('O43524', 'P19838', 'Q04206', 'Q9Y6K9', 'O88522', 'Q04207')"
IKK_epsilon,PhosphoELM,"('Q04206', 'Q14653', 'Q9Z1E3', 'Q9R0T8')"
IKK_group,PhosphoELM,"('O14920', 'P19838', 'P25963', 'P35568', 'Q04206', 'Q9Y4H2', 'O88522')"
ILK,PhosphoELM,"('P31749', 'Q13418', 'Q96A00', 'Q96C90', 'Q8TAE6', 'Q13765', 'ENSGALP00000016789')"
INSR,PhosphoELM,"('P62158', 'P04117', 'P04274', 'P06213', 'P22681', 'P27986', 'P81122', 'Q99704', 'Q13480', 'P35570', 'P18031', 'P53004')"
IRAK1,PhosphoELM,"('P40763', 'P51617')"
IRAK4,PhosphoELM,"('P51617',)"
ITK,PhosphoELM,"('P10747', 'Q08881', 'Q96LC7', 'P42680')"
JAK1,PhosphoELM,"('P29597', 'P42224', 'P15260', 'ENSP00000352232')"
JAK2,PhosphoELM,"('O60674', 'P40763', 'P41597', 'P42224', 'P42229', 'P19235', 'P10912', 'P16410', 'Q62120', 'P09793', 'ENSP00000352232')"
JAK3,PhosphoELM,"('P23458', 'P52333', 'Q96LC7')"
JAK_group,PhosphoELM,"('P52630', 'Q14765', 'P42226')"
JNK_group,PhosphoELM,"('P04150', 'P98083', 'O43521', 'P41970', 'Q00613', 'Q9UQF2')"
KDR,PhosphoELM,"('P35968', 'P35918', 'ENSP00000261937')"
KIS,PhosphoELM,"('P02686', 'P17600', 'P46527')"
KSR1,PhosphoELM,"('P04049',)"
Kit,PhosphoELM,"('P10721',)"
LIMK1,PhosphoELM,"('P23528', 'Q9Y281')"
LIMK1_drome,PhosphoELM,"('P45594',)"
LIMK2,PhosphoELM,"('P23528',)"
LKB1,PhosphoELM,"('Q15831', 'P60484', 'Q13131', 'Q7KZI7', 'Q9P0L2', 'Q96L34', 'Q9H093', 'P57059', 'Q9H0K1', 'Q9NRH2', 'Q8TDC3', 'P27448', 'Q8IWQ3', 'Q9Y2K2', 'Q14680', 'O60285', 'Q9WTK7')"
LOK,PhosphoELM,"('P53350', 'P26038')"
LRRK2,PhosphoELM,"('P26038',)"
Lck,PhosphoELM,"('O14543', 'P03372', 'P06239', 'P15311', 'P15498', 'P25963', 'P52735', 'Q13094', 'Q13813', 'P06127', 'P14784', 'P43403', 'P10747', 'P60484', 'Q08481', 'P16885', 'P20138', 'P29350', 'Q04759', 'Q08881', 'Q13291', 'Q9UN19', 'Q9UQQ2', 'Q91GT2', 'P28867', 'Q96LC7', 'P09793', 'P27870')"
Lyn,PhosphoELM,"('P07948', 'P15391', 'P68400', 'P42229', 'P48025', 'Q06187', 'P19235', 'P02730', 'P14317', 'O15492', 'P11137', 'P11912', 'P12318', 'P16885', 'P30419', 'P40259', 'Q12972', 'Q13291', 'Q9HBA0', 'P28867', 'P11598', 'P31994', 'P31995', 'P25911', 'Q3U1F9', 'Q9EPK8', 'Q99N69')"
MAP2K1,PhosphoELM,"('P27361', 'P28482', 'P49841', 'Q63844')"
MAP2K2,PhosphoELM,"('P27361',)"
MAP2K3,PhosphoELM,"('P53778', 'P46734')"
MAP2K4,PhosphoELM,"('P19793', 'P45983', 'P45984', 'P53779', 'P45985', 'P53778')"
MAP2K6,PhosphoELM,"('Q16539', 'P53778', 'Q9NQU5')"
MAP2K7,PhosphoELM,"('P45983', 'P45984', 'P53779')"
MAP2K_group,PhosphoELM,"('P27361', 'P28482', 'P45984', 'Q02750', 'Q16539', 'P53779')"
MAP3K1,PhosphoELM,"('O14733', 'P31938', 'P53349')"
MAP3K11,PhosphoELM,"('P45985', 'Q16584')"
MAP3K14,PhosphoELM,"('Q00653',)"
MAP3K5,PhosphoELM,"('P38936', 'Q99683', 'P45985', 'O35099')"
MAP3K7,PhosphoELM,"('O43318', 'Q62073')"
MAP3K8,PhosphoELM,"('Q02750', 'P36507')"
MAP3K_group,PhosphoELM,"('Q02750',)"
MAP4K1,PhosphoELM,"('Q13094', 'Q16584')"
MAP4K2,PhosphoELM,"('P02810',)"
MAPK1,PhosphoELM,"('P00533', 'P01106', 'P02686', 'P03372', 'P06239', 'P06401', 'P08047', 'P11388', 'P19793', 'P24928', 'P38936', 'P42229', 'P46527', 'P47712', 'P49137', 'P49815', 'P49841', 'P55211', 'Q02750', 'Q04206', 'Q07889', 'Q12772', 'Q13153', 'Q13322', 'Q13480', 'P23396', 'P27708', 'O43521', 'P01100', 'P08050', 'P17480', 'P28562', 'P36956', 'P37231', 'P42702', 'P49795', 'P53355', 'Q15797', 'P84022', 'O00562', 'Q14674', 'Q9R1Z8', 'O75582', 'P49715', 'Q14005', 'O00213', 'P17655', 'P50548', 'Q8IW41', 'Q9BY84', 'Q07820', 'P10828', 'Q16828', 'Q14934', 'P43354', 'P28033', 'P11881', 'Q6R891', 'Q9R194', 'P25118', 'P33242', 'P97471', 'P97784', 'Q08369', 'Q60749', 'Q60867', 'Q61097', 'P41969', 'P47713', 'Q00175', 'P15037', 'P35639', 'Q15788', 'Q15648', 'ENSP00000352232', 'P08955')"
MAPK10,PhosphoELM,"('O54918', 'P61978', 'P54259', 'O43521-2')"
MAPK11,PhosphoELM,"('P41235', 'O60381', 'Q8IW41')"
MAPK12,PhosphoELM,"('Q13424', 'P53778')"
MAPK13,PhosphoELM,"('P16949', 'O00418', 'Q62101')"
MAPK14,PhosphoELM,"('P03372', 'P05787', 'P14598', 'P15336', 'P17275', 'P49137', 'Q06413', 'Q07666', 'Q14790', 'Q15750', 'O75676', 'P19419', 'P19634', 'Q02078', 'Q9NQU5', 'Q9UBK2', 'O75582', 'P42574', 'Q8IW41', 'ENSP00000267569', 'Q14934', 'P42228')"
MAPK3,PhosphoELM,"('P00533', 'P02686', 'P03372', 'P05787', 'P06239', 'P06401', 'P08047', 'P11388', 'P14598', 'P17676', 'P19793', 'P24928', 'P35568', 'P42229', 'P49841', 'P51812', 'P55211', 'Q12772', 'Q13322', 'Q15796', 'Q9BUB5', 'Q9UQC2', 'P56270', 'P23396', 'P27708', 'O43521', 'P01100', 'P10242', 'P08050', 'P17480', 'P17542', 'P19419', 'P28562', 'P36956', 'P42702', 'P78536', 'Q01892', 'Q05682', 'P61978', 'Q13485', 'Q14247', 'Q9NQ66', 'Q9UJY1', 'O75582', 'P49715', 'Q14005', 'O14994', 'P17655', 'Q07820', 'P10828', 'Q16828', 'Q14934', 'P41212', 'Q9NYV6', 'P28033', 'P41969', 'P47713', 'Q00175', 'P15037', 'P49138', 'Q15788', 'Q15648', 'ENSP00000352232', 'P08955', 'Q98T92')"
MAPK4,PhosphoELM,"('P31152',)"
MAPK6,PhosphoELM,"('Q16659', 'P46695')"
MAPK7,PhosphoELM,"('P14921', 'Q06413', 'Q13163', 'O00141', 'P08050', 'Q02078', 'Q63943')"
MAPK8,PhosphoELM,"('O54918', 'P05412', 'P05787', 'P10415', 'P15336', 'P63104', 'P31946', 'P31947', 'Q07817', 'Q61337', 'P98177', 'P84245', 'P37231', 'Q06481', 'P61978', 'Q9UQF2', 'P54259', 'O43521-2', 'P10417', 'P41971', 'ENSMUSP00000043430', 'Q8C863')"
MAPK9,PhosphoELM,"('O54918', 'P05412', 'P98177', 'Q12968', 'P84245', 'Q9UQF2', 'O43521-2', 'Q8IW41', 'ENSP00000267569', 'Q9NYV6', 'P15037')"
MAPKAPK2,PhosphoELM,"('P04792', 'P07101', 'P08670', 'P11831', 'P16220', 'P22893', 'P30305', 'P49137', 'P49815', 'O00418', 'O95816', 'P09917', 'P33241', 'Q00613', 'P35639', 'ENSMUSP00000007980')"
MAPKAPK5,PhosphoELM,"('P04637',)"
MAPK_group,PhosphoELM,"('P02687', 'P03372', 'P04150', 'P04637', 'P10415', 'P14921', 'P15304', 'P68431', 'P16949', 'P17599', 'P17676', 'P19793', 'P22893', 'P38936', 'P47712', 'P49137', 'P49139', 'Q06413', 'Q07869', 'Q13424', 'Q15418', 'Q93045', 'P25098', 'Q16659', 'P01100', 'P10242', 'P14635', 'P15923', 'P42702', 'P53805', 'Q00613', 'Q15744', 'Q15746', 'ENSP00000328213')"
MARK_group,PhosphoELM,"('P27816', 'O88809', 'Q8WUI4', 'ENSMUSP00000029545')"
MHCK,PhosphoELM,"('P08799', 'P10569', 'P19706')"
MLCK_group,PhosphoELM,"('P02609', 'P02612', 'P25323')"
MOS,PhosphoELM,"('P00536',)"
MRCKa,PhosphoELM,"('P53667', 'P53671')"
MST1,PhosphoELM,"('Q13043', 'Q9JI11', 'P33778')"
MST3,PhosphoELM,"('Q9Y2H1',)"
Mer,PhosphoELM,"('Q12866',)"
Met,PhosphoELM,"('P08581', 'P16056', 'Q13480', 'Q9QYY0')"
Mlck_drome,PhosphoELM,"('P18432',)"
Mnk1,PhosphoELM,"('P06730', 'P47713', 'P63073')"
Mnk2,PhosphoELM,"('P06730',)"
NDR1,PhosphoELM,"('Q15208',)"
NDR2,PhosphoELM,"('Q9Y2H1',)"
NEK2,PhosphoELM,"('P36873', 'O14777')"
NEK6,PhosphoELM,"('O00141', 'Q8BSK8')"
NEK9,PhosphoELM,"('Q8TDX7', 'Q9HC98', 'Q8TD19')"
NLK,PhosphoELM,"('Q9UJU2',)"
NuaK1,PhosphoELM,"('P55212',)"
PAK1,PhosphoELM,"('P03372', 'P04049', 'P16949', 'P21333', 'Q02750', 'Q62925', 'Q92934', 'P19086', 'P53667', 'P58012', 'O95863', 'P15056', 'Q10728', 'Q91VC7', 'Q92974', 'P42230', 'P18669', 'P36871', 'P52565', 'P63168', 'ENSP00000248996', 'ENSP00000357298')"
PAK2,PhosphoELM,"('O08605', 'P24844', 'Q29502', 'P35240', 'P01237', 'P01236', 'P01108')"
PAK3,PhosphoELM,"('P04049', 'Q60598', 'P12957', 'O75914-2', 'P19429', 'Q64331')"
PAK5,PhosphoELM,"('Q9P286',)"
PAK_group,PhosphoELM,"('P04049', 'P08670', 'P17600', 'P35240')"
